,Title,NSE,Strength,Weakness,Oppurtunity,Threat
127,Dr Reddys Labs,DRREDDY,"['Efficient in managing Assets to generate Profits - ROA improving since last 2 year', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Company with Low Debt', 'Strong cash generating ability from core business - Improving Cash Flow from operation for last 2 years', 'Company able to generate Net Cash - Improving Net Cash Flow for last 2 years', 'Annual Net Profits improving for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding']","['Negative Breakdown First Support (LTP < S1)', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Major fall in TTM Net Profit']","['Rising Delivery Percentage Compared to Previous Day and Month, Strong Volumes', 'Big Deal (Insider and SAST) buys last month greater than 1% of total shares', 'Brokers upgraded recommendation or target price in the past three months', 'Negative to Positive growth in Sales and Profit with Strong Price momentum']","['Red Flags: Firms linked to ongoing regulatory investigations/legal cases', 'Stocks with high PE (PE > 40)']"
128,eClerx Services,ECLERX,"['High Growth Stock with Promoters increasing shareholding', 'Promoters increasing shareholding QoQ', 'Rising Net Cash Flow and Cash from Operating activity', 'Promoter holding increased more than 2% QoQ', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Company with No Debt', 'Company with Low Debt', 'Increasing profits every quarter for the past 2 quarters', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding', 'Recent Results : Growth in Operating Profit with increase in operating margins (YoY)', 'Companies with rising net profit margins - quarterly as well as TTM basis', 'Strong Momentum: Price above short, medium and long term moving averages']","['Companies with growing costs YoY for long term projects', 'MFs decreased their shareholding last quarter', 'Inefficient use of capital to generate profits - RoCE declining in the last 2 years', 'Inefficient use of shareholder funds - ROE declining in the last 2 years', 'Inefficient use of assets to generate profits - ROA declining in the last 2 years', 'Annual net profit declining for last 2 years']","['Brokers upgraded recommendation or target price in the past three months', 'Highest Recovery from 52 Week Low', 'High Volume, High Gain']",None
129,Edelweiss,EDELWEISS,"['Rising Net Cash Flow and Cash from Operating activity', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Increasing profits every quarter for the past 2 quarters', 'Strong cash generating ability from core business - Improving Cash Flow from operation for last 2 years', 'Company with decreasing Promoter pledge', 'FII / FPI or Institutions increasing their shareholding']","['Red Flag: High Interest Payments Compared to Earnings', 'MACD Crossover Below Signal Line', 'MFs decreased their shareholding last quarter', 'Inefficient use of capital to generate profits - RoCE declining in the last 2 years', 'Red Flag: Downgrade by Credit Rating Agency', 'Degrowth in Revenue and Profit', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Companies with High Debt', 'Companies with Increasing Debt', 'Promoter decreasing their shareholding', 'Major fall in TTM Net Profit', 'Fall in Quarterly Revenue and Net Profit (YoY)', 'Recent Results: Declining Operating Profit Margin and Net Profits (YoY)', 'Weak Momentum: Price below Short, Medium and Long Term Averages']","['Individual Superstar Investors raised stake in these stocks', 'Decrease in Provision in recent results', 'Stock with Low PE (PE < = 10)']",['Increasing Trend in Non-Core Income']
130,Eicher Motors,EICHERMOT,"['Company with Low Debt', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding']","['MFs decreased their shareholding last quarter', 'Inefficient use of capital to generate profits - RoCE declining in the last 2 years', 'Inefficient use of shareholder funds - ROE declining in the last 2 years', 'Inefficient use of assets to generate profits - ROA declining in the last 2 years', 'Degrowth in Revenue and Profit', 'Decline in Net Profit with falling Profit Margin (QoQ)', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Declining profits every quarter for the past 3 quarters', 'Declining Revenue every quarter for the past 2 quarters', 'Promoter decreasing their shareholding', 'Declining Net Cash Flow : Companies not able to generate net cash', 'Fall in Quarterly Revenue and Net Profit (YoY)', 'Recent Results: Declining Operating Profit Margin and Net Profits (YoY)']",None,"['Recent Broker Downgrades in Reco or Target Price', 'Upcoming Results for Nifty500 with Declining Share Price Over the Week', 'Degrowth in Revenue, Profits and Operating Profit Margin in recent results (QoQ)', 'Increasing Trend in Non-Core Income', 'Stocks with high PE (PE > 40)']"
131,EID Parry,EIDPARRY,"['High Piotroski Score - Companies with strong financials', 'Rising Net Cash Flow and Cash from Operating activity', 'Strong Annual EPS Growth', 'Growth in Quarterly Net Profit with increasing Profit Margin (YoY)', 'Book Value per share Improving for last 2 years', 'FII / FPI or Institutions increasing their shareholding', 'Strong Momentum: Price above short, medium and long term moving averages']","['Decline in Net Profit with falling Profit Margin (QoQ)', 'Declining profits every quarter for the past 3 quarters']","['Companies with current TTM PE Ratio less than 3 Year, 5 Year and 10 Year PE', 'Profit making Companies with High ROCE and Low PE', 'Results Screener: Stocks with upcoming results which are seeing positive shifts in share price', 'Highest Recovery from 52 Week Low', 'Stock with Low PE (PE < = 10)', 'RSI indicating price strength', 'High Volume, High Gain']","['Degrowth in Revenue, Profits and Operating Profit Margin in recent results (QoQ)']"
132,EIH,EIHOTEL,"['Growth in Net Profit with increasing Profit Margin (QoQ)', 'Company with Low Debt', 'Strong cash generating ability from core business - Improving Cash Flow from operation for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge']","['Companies with growing costs YoY for long term projects', 'MFs decreased their shareholding last quarter', 'Degrowth in Revenue and Profit', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Declining Net Cash Flow : Companies not able to generate net cash', 'Major fall in TTM Net Profit', 'Fall in Quarterly Revenue and Net Profit (YoY)', 'Recent Results: Declining Operating Profit Margin and Net Profits (YoY)', 'Weak Momentum: Price below Short, Medium and Long Term Averages']","['Big Deal (Insider and SAST) buys last month greater than 1% of total shares', 'Positive Breakout Third Resistance ( LTP > R3)', 'Stock with Low PE (PE < = 10)', 'High Volume, High Gain', 'Insiders bought stocks']","['Increase in Provisions in Recent Results', 'Insiders sold stocks']"
133,Emami,EMAMILTD,"['High Piotroski Score - Companies with strong financials', 'Promoters increasing shareholding QoQ', 'Bullish Harami  (Bullish Reversal)', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Growth in Quarterly Net Profit with increasing Profit Margin (YoY)', 'Company with Low Debt', 'Increasing profits every quarter for the past 2 quarters', 'Company with decreasing Promoter pledge', 'FII / FPI or Institutions increasing their shareholding', 'Strong Momentum: Price above short, medium and long term moving averages']","['Negative Breakdown First Support (LTP < S1)', 'MFs decreased their shareholding last quarter', 'Poor cash generated from core business - Declining Cash Flow from Operations for last 2 years', 'Degrowth in Revenue and Profit', 'Declining Net Cash Flow : Companies not able to generate net cash', 'Book Value Per Share deteriorating for last 2 years', 'Companies with High Promoter Pledge']","['Brokers upgraded recommendation or target price in the past three months', 'Highest Recovery from 52 Week Low', 'RSI indicating price strength']",['Stocks with high PE (PE > 40)']
134,Endurance Techn,ENDURANCE,"['Efficient in managing Assets to generate Profits - ROA improving since last 2 year', 'Company with Low Debt', 'Strong cash generating ability from core business - Improving Cash Flow from operation for last 2 years', 'Annual Net Profits improving for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding']","['Degrowth in Revenue and Profit', 'Decline in Net Profit with falling Profit Margin (QoQ)', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Declining Revenue every quarter for the past 4 quarters', 'Declining profits every quarter for the past 3 quarters', 'Major fall in TTM Net Profit', 'Fall in Quarterly Revenue and Net Profit (YoY)', 'Recent Results: Declining Operating Profit Margin and Net Profits (YoY)']",['Brokers upgraded recommendation or target price in the past three months'],"['Profit to Loss Companies', 'Degrowth in Revenue, Profits and Operating Profit Margin in recent results (QoQ)', 'Increasing Trend in Non-Core Income']"
135,EngineersInd,ENGINERSIN,"['Company with No Debt', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge']","['MFs decreased their shareholding last quarter', 'Poor cash generated from core business - Declining Cash Flow from Operations for last 2 years', 'Decline in Net Profit with falling Profit Margin (QoQ)', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Declining Revenue every quarter for the past 2 quarters', 'Declining Net Cash Flow : Companies not able to generate net cash', 'Fall in Quarterly Revenue and Net Profit (YoY)', 'Recent Results: Declining Operating Profit Margin and Net Profits (YoY)']","['Companies with current TTM PE Ratio less than 3 Year, 5 Year and 10 Year PE', 'Positive Breakout Second Resistance  ( LTP > R2)', 'Street Favorite: High Analyst Rating with at least 20% upside', 'High Volume, High Gain']","['Degrowth in Revenue, Profits and Operating Profit Margin in recent results (QoQ)', 'Increasing Trend in Non-Core Income']"
136,EPL,EPL,"['Rising Net Cash Flow and Cash from Operating activity', 'Company with Low Debt', 'Strong cash generating ability from core business - Improving Cash Flow from operation for last 2 years', 'Annual Net Profits improving for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding']","['Promoter holding decreased by more than -2% QoQ', 'MACD Crossover Below Signal Line', 'Inefficient use of capital to generate profits - RoCE declining in the last 2 years', 'Decline in Net Profit with falling Profit Margin (QoQ)', 'Declining profits every quarter for the past 2 quarters', 'Promoter decreasing their shareholding']","['Brokers upgraded recommendation or target price in the past three months', 'Results Screener: Stocks with upcoming results which are seeing positive shifts in share price', 'Highest Recovery from 52 Week Low']",['Increasing Trend in Non-Core Income']
137,Equitas Holding,EQUITAS,"['Effectively using Shareholders fund - Return on equity (ROE) improving since last 2 year', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Annual Net Profits improving for last 2 years', 'Book Value per share Improving for last 2 years']","['Red Flag: High Interest Payments Compared to Earnings', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Companies with High Debt', 'Companies with Increasing Debt', 'Low Piotroski Score : Companies with weak financials', 'Recent Results: Declining Operating Profit Margin and Net Profits (YoY)', 'Weak Momentum: Price below Short, Medium and Long Term Averages']","['Positive Breakout First Resistance ( LTP > R1)', 'Decrease in Provision in recent results', 'Stock with Low PE (PE < = 10)']",['Upcoming Results for Nifty500 with Declining Share Price Over the Week']
